iter	Passed	Remaining
0	1	120
1	2	143
2	4	144
3	5	133
4	7	136
5	8	138
6	10	137
7	11	136
8	13	133
9	14	133
10	16	133
11	18	132
12	19	130
13	20	128
14	22	130
15	24	129
16	26	128
17	27	125
18	29	124
19	30	122
20	31	120
21	33	118
22	34	117
23	36	115
24	38	114
25	39	113
26	41	112
27	42	110
28	44	108
29	45	106
30	47	105
31	48	103
32	50	101
33	51	100
34	52	98
35	54	96
36	55	94
37	56	92
38	57	90
39	58	88
40	60	86
41	60	83
42	61	81
43	62	79
44	63	77
45	64	75
46	65	74
47	66	72
48	67	70
49	69	69
50	70	67
51	71	65
52	72	64
53	73	62
54	73	60
55	74	58
56	75	57
57	76	55
58	77	54
59	78	52
60	79	51
61	81	49
62	81	48
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	94	28
77	95	27
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	102	16
86	104	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	109	7
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
