iter	Passed	Remaining
0	146	146599
1	148	74182
2	150	50002
3	188	47023
4	190	37945
5	192	31855
6	194	27523
7	195	24243
8	197	21770
9	199	19713
10	201	18077
11	204	16806
12	206	15702
13	209	14728
14	212	13944
15	214	13218
16	217	12583
17	220	12008
18	222	11501
19	225	11040
20	228	10643
21	230	10251
22	232	9887
23	235	9560
24	237	9264
25	239	8986
26	242	8728
27	244	8473
28	245	8232
29	247	8013
30	249	7806
31	251	7607
32	253	7422
33	255	7252
34	257	7088
35	258	6925
36	260	6769
37	261	6619
38	262	6477
39	264	6340
40	265	6209
41	266	6086
42	268	5980
43	270	5870
44	271	5762
45	272	5657
46	274	5558
47	275	5461
48	276	5370
49	278	5283
50	279	5199
51	280	5117
52	282	5046
53	283	4970
54	285	4898
55	286	4828
56	287	4758
57	289	4695
58	290	4635
59	292	4575
60	293	4517
61	294	4460
62	296	4403
63	297	4355
64	298	4295
65	299	4241
66	301	4191
67	302	4144
68	303	4100
69	305	4053
70	306	4007
71	307	3961
72	308	3916
73	309	3874
74	310	3833
75	312	3794
76	313	3756
77	314	3720
78	315	3683
79	317	3649
80	318	3615
81	320	3582
82	320	3545
83	322	3513
84	323	3483
85	325	3454
86	326	3424
87	327	3397
88	329	3370
89	330	3343
90	331	3315
91	333	3289
92	334	3262
93	335	3237
94	337	3212
95	338	3187
96	339	3163
97	341	3140
98	342	3118
99	343	3095
100	345	3073
101	346	3050
102	347	3028
103	348	3006
104	350	2985
105	351	2964
106	352	2943
107	353	2923
108	355	2904
109	356	2884
110	357	2864
111	358	2845
112	360	2827
113	361	2809
114	362	2791
115	364	2774
116	365	2755
117	366	2737
118	367	2720
119	368	2704
120	369	2687
121	371	2670
122	372	2654
123	373	2639
124	375	2625
125	376	2610
126	377	2593
127	378	2579
128	379	2564
129	380	2548
130	382	2535
131	383	2521
132	384	2508
133	385	2494
134	387	2480
135	388	2468
136	389	2453
137	390	2441
138	392	2429
139	393	2416
140	394	2406
141	395	2391
142	397	2380
143	398	2368
144	399	2355
145	400	2344
146	402	2333
147	403	2321
148	404	2311
149	405	2298
150	406	2287
151	408	2277
152	409	2266
153	410	2257
154	412	2246
155	413	2235
156	414	2226
157	416	2217
158	417	2207
159	419	2199
160	419	2187
161	420	2177
162	422	2168
163	423	2159
164	425	2151
165	426	2142
